v-id,summary
V-218827,The IIS 10.0 web server must enable HTTP Strict Transport Security (HSTS).
V-228572,An IIS Server configured to be a SMTP relay must require authentication.
V-241788,HTTPAPI Server version must be removed from the HTTP Response Header information.
V-241789,ASP.NET version must be removed from the HTTP Response Header information.
V-268325,The Request Smuggling filter must be enabled.
V-218735,The IIS 10.0 website session state must be enabled.
V-218736,The IIS 10.0 website session state cookie settings must be configured to Use Cookies mode.
V-218737,A private IIS 10.0 website must only accept Secure Socket Layer (SSL) connections.
V-218738,A public IIS 10.0 website must only accept Secure Socket Layer (SSL) connections when authentication is required.
V-218739,Both the log file and Event Tracing for Windows (ETW) for each IIS 10.0 website must be enabled.
V-218740,"An IIS 10.0 website behind a load balancer or proxy server must produce log records containing the source client IP, and destination information."
V-218741,The IIS 10.0 website must produce log records that contain sufficient information to establish the outcome (success or failure) of IIS 10.0 website events.
V-218742,The IIS 10.0 website must produce log records containing sufficient information to establish the identity of any user/subject or process associated with an event.
V-218743,The IIS 10.0 website must have Multipurpose Internet Mail Extensions (MIME) that invoke OS shell programs disabled.
V-218744,Mappings to unused and vulnerable scripts on the IIS 10.0 website must be removed.
V-218745,The IIS 10.0 website must have resource mappings set to disable the serving of certain file types.
V-218746,The IIS 10.0 website must have Web Distributed Authoring and Versioning (WebDAV) disabled.
V-218748,Each IIS 10.0 website must be assigned a default host header.
V-218749,A private IIS 10.0 website authentication mechanism must use client certificates to transmit session identifier to assure integrity.
V-218750,Anonymous IIS 10.0 website access accounts must be restricted.
V-218751,The IIS 10.0 website must generate unique session identifiers that cannot be reliably reproduced.
V-218752,The IIS 10.0 website document directory must be in a separate partition from the IIS 10.0 websites system files.
V-218753,The IIS 10.0 website must be configured to limit the maxURL.
V-218754,The IIS 10.0 website must be configured to limit the size of web requests.
V-218755,The IIS 10.0 websites Maximum Query String limit must be configured.
V-218756,Non-ASCII characters in URLs must be prohibited by any IIS 10.0 website.
V-218757,Double encoded URL requests must be prohibited by any IIS 10.0 website.
V-218758,Unlisted file extensions in URL requests must be filtered by any IIS 10.0 website.
V-218759,Directory Browsing on the IIS 10.0 website must be disabled.
V-218760,"Warning and error messages displayed to clients must be modified to minimize the identity of the IIS 10.0 website, patches, loaded modules, and directory paths."
V-218761,Debugging and trace information used to diagnose the IIS 10.0 website must be disabled.
V-218762,The Idle Time-out monitor for each IIS 10.0 website must be enabled.
V-218763,The IIS 10.0 websites connectionTimeout setting must be explicitly configured to disconnect an idle session.
V-218764,The IIS 10.0 website must provide the capability to immediately disconnect or disable remote access to the hosted applications.
V-218765,The IIS 10.0 website must use a logging mechanism configured to allocate log record storage capacity large enough to accommodate the logging requirements of the IIS 10.0 website.
V-218766,"The IIS 10.0 websites must use ports, protocols, and services according to Ports, Protocols, and Services Management (PPSM) guidelines."
V-218767,The IIS 10.0 website must only accept client certificates issued by DOD PKI or DOD-approved PKI Certification Authorities (CAs).
V-218768,The IIS 10.0 private website must employ cryptographic mechanisms (TLS) and require client certificates.
V-218769,IIS 10.0 website session IDs must be sent to the client using TLS.
V-218770,Cookies exchanged between the IIS 10.0 website and the client must have cookie properties set to prohibit client-side scripts from reading the cookie data.
V-218771,The IIS 10.0 website must have a unique application pool.
V-218772,The maximum number of requests an application pool can process for each IIS 10.0 website must be explicitly set.
V-218775,The application pool for each IIS 10.0 website must have a recycle time explicitly set.
V-218777,The application pools rapid fail protection for each IIS 10.0 website must be enabled.
V-218778,The application pools rapid fail protection settings for each IIS 10.0 website must be managed.
V-218779,Interactive scripts on the IIS 10.0 web server must be located in unique and designated folders.
V-218780,Interactive scripts on the IIS 10.0 web server must have restrictive access controls.
V-218781,Backup interactive scripts on the IIS 10.0 server must be removed.
V-218782,The required DoD banner page must be displayed to authenticated users accessing a DoD private website.
